support,itemsets,itemset_size,itemset_label
0.0910768599842794,frozenset({'15704307'}),1,{15704307}
0.0548853422644475,frozenset({'17131869'}),1,{17131869}
0.0515019992481459,frozenset({'19351043'}),1,{19351043}
0.0502716926967636,frozenset({'17571564'}),1,{17571564}
0.0469225248624448,frozenset({'20898019'}),1,{20898019}
0.0451795905813198,frozenset({'472331'}),1,{472331}
0.0441543351218345,frozenset({'18659623'}),1,{18659623}
0.0430265541164006,frozenset({'19358975'}),1,{19358975}
0.0422747001127781,"frozenset({'15704307', '17131869'})",2,"{15704307, 17131869}"
0.0390280578244079,frozenset({'22554204'}),1,{22554204}
