support,itemsets,itemset_size
0.045179590581319845,frozenset({'472331'}),1
0.09107685998427942,frozenset({'15704307'}),1
0.05488534226444756,frozenset({'17131869'}),1
0.044154335121834525,frozenset({'18659623'}),1
0.04302655411640067,frozenset({'19358975'}),1
0.039028057824407915,frozenset({'22554204'}),1
0.03899388264242507,frozenset({'23093367'}),1
0.051501999248145997,frozenset({'19351043'}),1
0.05027169269676361,frozenset({'17571564'}),1
0.033149926523358735,frozenset({'25855506'}),1
0.03178291924404497,frozenset({'28204534'}),1
0.04692252486244489,frozenset({'20898019'}),1
0.032466422883701856,frozenset({'25451555'}),1
0.03236389733775332,frozenset({'23093359'}),1
0.034482758620689655,frozenset({'20299683'}),1
0.03308157615939305,frozenset({'25179'}),1
0.0422747001127781,"frozenset({'15704307', '17131869'})",2
0.030791838966542497,"frozenset({'19358975', '15704307'})",2
0.030620963056628276,"frozenset({'19358975', '17131869'})",2
