support,itemsets,itemset_size
0.01507125525443423,frozenset({'23732096'}),1
0.045179590581319845,frozenset({'472331'}),1
0.09107685998427942,frozenset({'15704307'}),1
0.05488534226444756,frozenset({'17131869'}),1
0.044154335121834525,frozenset({'18659623'}),1
0.04302655411640067,frozenset({'19358975'}),1
0.039028057824407915,frozenset({'22554204'}),1
0.03899388264242507,frozenset({'23093367'}),1
0.027989474043949285,frozenset({'19536001'}),1
0.027271795222309558,frozenset({'9516'}),1
0.013909299067017532,frozenset({'21823465'}),1
0.012268890331841018,frozenset({'59980'}),1
0.011038583780458631,frozenset({'23395763'}),1
0.021837941287037352,frozenset({'29800'}),1
0.051501999248145997,frozenset({'19351043'}),1
0.05027169269676361,frozenset({'17571564'}),1
0.014456101978743037,frozenset({'25243735'}),1
0.01052595605071597,frozenset({'15799936'}),1
0.033149926523358735,frozenset({'25855506'}),1
0.03178291924404497,frozenset({'28204534'}),1
0.02600731348894433,frozenset({'138398'}),1
0.021188612829363317,frozenset({'96358'}),1
0.021940466832985887,frozenset({'23017947'}),1
0.015344656710296983,frozenset({'18594409'}),1
0.014353576432794505,frozenset({'23546843'}),1
0.013567547247189091,frozenset({'22487952'}),1
0.011072758962441476,frozenset({'25066780'}),1
0.04692252486244489,frozenset({'20898019'}),1
0.032466422883701856,frozenset({'25451555'}),1
0.03236389733775332,frozenset({'23093359'}),1
0.026554116400669833,frozenset({'991197'}),1
0.026485766036704144,frozenset({'28862528'}),1
0.024777006937561942,frozenset({'29396738'}),1
0.021188612829363317,frozenset({'29237211'}),1
0.019889955914015243,frozenset({'156534'}),1
0.018215371996855884,frozenset({'25074849'}),1
0.012473941423738082,frozenset({'13154150'}),1
0.01035508014080175,frozenset({'25546167'}),1
0.021086087283414785,frozenset({'920607'}),1
0.012952393971497899,frozenset({'9517'}),1
0.02204299237893442,frozenset({'20701984'}),1
0.01161956187416698,frozenset({'17210471'}),1
0.026759167492566897,frozenset({'20575446'}),1
0.018386247906770105,frozenset({'22504701'}),1
0.010047503502956153,frozenset({'20256612'}),1
0.034482758620689655,frozenset({'20299683'}),1
0.028809678411537542,frozenset({'3217221'}),1
0.023785926660059464,frozenset({'17346698'}),1
0.015105430436417074,frozenset({'6120349'}),1
0.02036840846177506,frozenset({'5805'}),1
0.018659649362632855,frozenset({'13615'}),1
0.022179693106865794,frozenset({'1238684'}),1
0.011380335600287072,frozenset({'9674335'}),1
0.028331225863777725,frozenset({'9615347'}),1
0.01237141587778955,frozenset({'20638291'}),1
0.025973138306961484,frozenset({'118944'}),1
0.01910392672840983,frozenset({'13436373'}),1
0.015344656710296983,frozenset({'6407014'}),1
0.012644817333652301,frozenset({'62953'}),1
0.012473941423738082,frozenset({'10767466'}),1
0.011380335600287072,frozenset({'38333'}),1
0.01120945969037285,frozenset({'138396'}),1
0.029356481323263045,frozenset({'18465566'}),1
0.015139605618399919,frozenset({'15786110'}),1
0.010936058234510099,frozenset({'91714'}),1
0.010662656778647346,frozenset({'13223349'}),1
0.03308157615939305,frozenset({'25179'}),1
0.016711663989610746,frozenset({'15197'}),1
0.011004408598475787,frozenset({'17465574'}),1
0.018317897542804416,frozenset({'6839093'}),1
0.02019753255186084,frozenset({'23754'}),1
0.0166774888076279,frozenset({'16002136'}),1
0.022521444926694233,frozenset({'15196'}),1
0.0166774888076279,frozenset({'24666002'}),1
0.01650661289771368,frozenset({'29772863'}),1
0.017155941355387717,frozenset({'23012877'}),1
0.016130685895902396,frozenset({'25785993'}),1
0.012405591059772392,frozenset({'6277410'}),1
0.010970233416492944,frozenset({'31338724'}),1
0.016814189535559278,frozenset({'24886016'}),1
0.01431940125081166,frozenset({'16164271'}),1
