antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedent_len,consequent_len,rule_len
frozenset({'23732096'}),frozenset({'20898019'}),0.01507125525443423,0.04692252486244489,0.005946481665014866,0.3945578231292517,8.40870827573564,1.0,0.0052393003156304225,1.5741841443283213,0.894557778362727,0.10609756097560975,0.36475030344897563,0.2606438059564685,1,1,2
frozenset({'20898019'}),frozenset({'23732096'}),0.04692252486244489,0.01507125525443423,0.005946481665014866,0.12672978878368535,8.40870827573564,1.0,0.0052393003156304225,1.1278625242165654,0.9244533552930935,0.10609756097560975,0.1133671183067112,0.2606438059564685,1,1,2
frozenset({'23732096'}),frozenset({'22554204'}),0.01507125525443423,0.039028057824407915,0.005502204299237893,0.36507936507936506,9.35427959858783,1.0,0.004914002477681423,1.5135308089265578,0.9067631174003561,0.11322081575246132,0.3392932643972865,0.2530300503155144,1,1,2
frozenset({'22554204'}),frozenset({'23732096'}),0.039028057824407915,0.01507125525443423,0.005502204299237893,0.14098073555166374,9.35427959858783,1.0,0.004914002477681423,1.146573523444889,0.9293685068273503,0.11322081575246132,0.12783613126222182,0.2530300503155144,1,1,2
frozenset({'472331'}),frozenset({'15704307'}),0.045179590581319845,0.09107685998427942,0.005912306483032022,0.1308623298033283,1.4368340083959434,1.0,0.0017974912375100854,1.0457757973026829,0.318411063574298,0.045359202936549554,0.04377209476519736,0.09788895101798685,1,1,2
frozenset({'15704307'}),frozenset({'472331'}),0.09107685998427942,0.045179590581319845,0.005912306483032022,0.06491557223264541,1.4368340083959434,1.0,0.0017974912375100854,1.0211060959473446,0.33448964901497635,0.045359202936549554,0.020669836397130794,0.09788895101798685,1,1,2
frozenset({'15704307'}),frozenset({'17131869'}),0.09107685998427942,0.05488534226444756,0.0422747001127781,0.4641651031894934,8.456995693915172,1.0,0.03727591548016976,1.7638169207739824,0.9701091988352806,0.4077125906394199,0.43304773402378466,0.6172008579459297,1,1,2
frozenset({'17131869'}),frozenset({'15704307'}),0.05488534226444756,0.09107685998427942,0.0422747001127781,0.7702366127023661,8.456995693915172,1.0,0.03727591548016976,3.955909384458664,0.9329605587497061,0.4077125906394199,0.7472136232622926,0.6172008579459297,1,1,2
frozenset({'15704307'}),frozenset({'18659623'}),0.09107685998427942,0.044154335121834525,0.010286729776836062,0.11294559099437149,2.557972862295901,1.0,0.006265291579245788,1.077550210194717,0.6700956454871189,0.0823304157549234,0.07196899918074667,0.17295886360864085,1,1,2
frozenset({'18659623'}),frozenset({'15704307'}),0.044154335121834525,0.09107685998427942,0.010286729776836062,0.23297213622291021,2.557972862295901,1.0,0.006265291579245788,1.184993639657226,0.6372006073644183,0.0823304157549234,0.15611361400280402,0.17295886360864085,1,1,2
frozenset({'18659623'}),frozenset({'17131869'}),0.044154335121834525,0.05488534226444756,0.007347664126311473,0.16640866873065016,3.0319327868789254,1.0,0.004924238330690467,1.1337865717681836,0.7011355595522285,0.08013417815877749,0.1179997850561401,0.15014082253468997,1,1,2
frozenset({'17131869'}),frozenset({'18659623'}),0.05488534226444756,0.044154335121834525,0.007347664126311473,0.13387297633872977,3.0319327868789254,1.0,0.004924238330690467,1.103586008479032,0.7090963827559674,0.08013417815877749,0.09386310417417754,0.15014082253468997,1,1,2
frozenset({'19351043'}),frozenset({'18659623'}),0.051501999248145997,0.044154335121834525,0.009466525409247804,0.1838088918380889,4.162873052689101,1.0,0.0071924888750006955,1.171105217049915,0.8010362574334751,0.10983346550356858,0.1461057593791097,0.19910258833390512,1,1,2
frozenset({'18659623'}),frozenset({'19351043'}),0.044154335121834525,0.051501999248145997,0.009466525409247804,0.21439628482972134,4.162873052689101,1.0,0.0071924888750006955,1.207349179282163,0.7948786259361673,0.10983346550356858,0.17173919760764128,0.19910258833390512,1,1,2
frozenset({'18659623'}),frozenset({'17571564'}),0.044154335121834525,0.05027169269676361,0.005536379481220738,0.12538699690402477,2.4941868908284626,1.0,0.003316666314745956,1.0858840469343198,0.6267410700294728,0.062283737024221464,0.0790913607919636,0.11775808036907562,1,1,2
frozenset({'17571564'}),frozenset({'18659623'}),0.05027169269676361,0.044154335121834525,0.005536379481220738,0.11012916383412645,2.494186890828463,1.0,0.003316666314745956,1.074139780775998,0.6307780132297345,0.062283737024221464,0.06902246998285153,0.11775808036907562,1,1,2
frozenset({'20898019'}),frozenset({'18659623'}),0.04692252486244489,0.044154335121834525,0.007450189672260005,0.15877640203932994,3.595941408725103,1.0,0.005378356784721001,1.1362563617988928,0.7574501808018443,0.08908868001634655,0.11991691873405674,0.16375352609706434,1,1,2
frozenset({'18659623'}),frozenset({'20898019'}),0.044154335121834525,0.04692252486244489,0.007450189672260005,0.16873065015479877,3.595941408725103,1.0,0.005378356784721001,1.1465326795881947,0.7552565569810088,0.08908868001634655,0.12780506146656506,0.16375352609706434,1,1,2
"frozenset({'15704307', '18659623'})",frozenset({'17131869'}),0.010286729776836062,0.05488534226444756,0.00580978093708349,0.5647840531561462,10.290252913699872,1.0,0.005245190252499959,2.1715993280793993,0.9122042573935651,0.09786989061600462,0.5395098961996744,0.33531855210733835,2,1,3
